Item_UPC,Item_Description,Item_Max_Qty,Item_Order_Threshold,Item_Replenishment_Order_Qty,Item_On_Hand,Item_Unit_Price
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7,3,6,2,1.28
22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,2,6,1,0.65
22142,CHRISTMAS CRAFT WHITE FAIRY ,11,4,10,6,0.65
72818,CHRISTMAS DECOUPAGE CANDLE,9,3,8,4,0.65
22594,CHRISTMAS GINGHAM TREE,8,3,7,3,1.28
21811,CHRISTMAS HANGING HEART WITH BELL,10,3,9,5,1.28
23058,CHRISTMAS HANGING SNOWFLAKE,8,3,7,3,0.65
21809,CHRISTMAS HANGING TREE WITH BELL,17,6,15,12,0.65
22602,CHRISTMAS RETROSPOT HEART WOOD,12,4,11,7,1.25
22603,CHRISTMAS RETROSPOT TREE WOOD,21,7,19,16,0.65
21801,CHRISTMAS TREE DECORATION WITH BELL,149,45,134,144,0.65
21802,CHRISTMAS TREE HEART DECORATION,65,20,58,60,0.55
21816,CHRISTMAS TREE T-LIGHT HOLDER,17,6,15,12,1.25
20771,CHRYSANTHEMUM  JOURNAL,9,3,8,4,5.91
20777,CHRYSANTHEMUM NOTEBOOK,7,3,6,2,4.21
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,18,6,16,13,0.65
90147,CHUNKY SILVER NECKLACE PASTEL FLOWE,9,3,8,4,1.25
23064,CINDERELLA CHANDELIER ,26,8,24,21,0.65
23010,CIRCUS PARADE BABY GIFT SET,11,4,10,6,1.25
22631,CIRCUS PARADE LUNCH BOX ,77,24,69,72,0.65
23168,CLASSIC CAFE SUGAR DISPENSER,29,9,26,24,0.65
21793,CLASSIC FRENCH STYLE BASKET BROWN,6,2,6,1,0.65
21792,CLASSIC FRENCH STYLE BASKET GREEN ,23,7,21,18,0.65
23169,CLASSIC GLASS COOKIE JAR,10,3,9,5,1.28
84678,CLASSICAL ROSE SMALL VASE,9,3,8,4,0.65
84679,CLASSICAL ROSE TABLE LAMP,149,45,134,144,0.65
84952A,CLEAR LOVE BIRD T-LIGHT HOLDER,53,16,48,48,0.65
72134,COLUMBIAN  CUBE CANDLE ,8,3,7,3,1.28
72133,COLUMBIAN CANDLE RECTANGLE,14,5,12,9,1.28
72128,COLUMBIAN CANDLE ROUND,8,3,7,3,0.65
72130,COLUMBIAN CANDLE ROUND,17,6,15,12,0.65
72127,COLUMBIAN CANDLE ROUND ,30,9,27,25,0.65
90043,COPPER AND BRASS BAG CHARM,7,3,6,2,1.25
21739,COSY SLIPPER SHOES SMALL GREEN,8,3,7,3,1.25
22990,COTTON APRON PANTRY DESIGN,21,7,19,16,1.25
20707,CRAZY DAISY HEART DECORATION,17,6,15,12,1.25
22189,CREAM HEART CARD HOLDER,13,4,12,8,0.65
85063,CREAM SWEETHEART MAGAZINE RACK,12,4,11,7,0.65
85066,CREAM SWEETHEART MINI CHEST,11,4,10,6,1.25
85065,CREAM SWEETHEART TRAYS,18,6,16,13,0.65
22822,CREAM WALL PLANTER HEART SHAPED,5,2,4,0,0.65
84548,CROCHET BEAR RED/BLUE  KEYRING,16,5,15,11,0.65
84593,CROCHET ROSE DES CLOTHES HANGER,15,5,13,10,1.25
84549,CROCHET WHITE RABBIT KEYRING ,19,6,17,14,1.25
CRUK,CRUK Commission,10,3,9,5,1.25
90083,CRYSTAL CZECH CROSS PHONE CHARM,149,45,134,144,0.55
90085,CRYSTAL STILETTO PHONE CHARM,8,3,7,3,0.65
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,17,6,15,12,1.28
37479P,CUBIC MUG FLOCK PINK ON BROWN,11,4,10,6,0.65
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,6,2,6,1,0.65
22938,CUPCAKE LACE PAPER SET 6,6,2,6,1,1.28
72819,CUPID DESIGN SCENTED CANDLES,53,16,48,48,0.65
72821,CUPID SCENTED CANDLE IN GLASS,9,3,8,4,1.28
23410,CURIO CABINET LINEN AND LACE ,7,3,6,2,0.65
85031C,CURIOUS IMAGES SCRAP BOOK SET,13,4,12,8,0.65
84732B,CUTE BIRD CEATURE SCREEN,17,6,15,12,0.65
84422,Dagamed,9,3,8,4,0.65
21204,DAISIES  HONEYCOMB GARLAND ,8,3,7,3,1.63
22479,DAISY GARDEN MARKER,10,3,9,5,0.65
20769,DAISY JOURNAL ,17,6,15,12,2.95
84823,DANISH ROSE FOLDING CHAIR,485,146,436,480,0.55
84820,DANISH ROSE TRINKET TRAYS,21,7,19,16,0.55
22285,DECORATION HEN ON NEST, HANGING,389,117,350,384,0.55
22249,DECORATION WHITE CHICK MAGIC GARDEN,21,7,19,16,0.65
20856,DENIM PATCH PURSE PINK BUTTERFLY,29,9,26,24,3.25
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,24,8,21,19,0.65
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,7,3,6,2,0.85
21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,2,6,1,3.29
22852,DOG BOWL VINTAGE CREAM,8,3,7,3,0.85
23526,DOG LICENCE WALL ART,11,4,10,6,0.85
84581,DOG TOY WITH PINK CROCHET SKIRT,6,2,6,1,1.63
23236,DOILEY BISCUIT TIN,9,3,8,4,0.85
23236,DOILEY STORAGE TIN,29,9,26,24,0.29
23695,DOILY THANK YOU CARD,53,16,48,48,0.29
23459,DOLLY CABINET 2 DRAWERS ,11,4,10,6,0.29
23458,DOLLY CABINET 3 DRAWERS ,12,4,11,7,0.29
23008,DOLLY GIRL BABY GIFT SET,9,3,8,4,0.29
23289,DOLLY GIRL CHILDRENS BOWL,10,3,9,5,0.29
23291,DOLLY GIRL CHILDRENS CUP,8,3,7,3,0.29
23390,DOLLY GIRL MINI BACKPACK,19,6,17,14,0.29
23229,DONKEY TAIL GAME ,5,2,4,0,0.29
48185,DOORMAT FAIRY CAKE,13,4,12,8,0.29
22690,DOORMAT HOME SWEET HOME BLUE ,6,2,6,1,0.29
48116,DOORMAT MULTICOLOUR STRIPE,17,6,15,12,0.29
48187,DOORMAT NEW ENGLAND,197,60,177,192,0.29
22688,DOORMAT PEACE ON EARTH BLUE,101,31,91,96,0.29
20685,DOORMAT RED RETROSPOT,7,3,6,2,9.95
22365,DOORMAT RESPECTABLE HOUSE,6,2,6,1,0.85
21524,DOORMAT SPOTTY HOME SWEET HOME,7,3,6,2,2.46
48129,DOORMAT TOPIARY,29,9,26,24,0.85
48138,DOORMAT UNION FLAG,125,38,112,120,0.85
21955,DOORMAT UNION JACK GUNS AND ROSES,10,3,9,5,0.85
22692,DOORMAT WELCOME TO OUR HOME,5,2,4,0,0.85
23029,DRAWER KNOB CRACKLE GLAZE GREEN,17,6,15,12,0.85
90177D,DROP DIAMANTE EARRINGS PURPLE,6,2,6,1,0.85
90188,DROP EARRINGS W FLOWER & LEAF,11,4,10,6,0.85
35597A,DUSTY PINK CHRISTMAS TREE 30CM,8,3,7,3,0.85
84231,EASTER BUNNY WITH BASKET ON BACK,7,3,6,2,0.85
22266,EASTER DECORATION HANGING BUNNY,15,5,13,10,0.85
22265,EASTER DECORATION NATURAL CHICK,5,2,4,0,0.85
22268,EASTER DECORATION SITTING BUNNY,12,4,11,7,0.85
22860,EASTER TIN CHICKS PINK DAISY,9,3,8,4,0.85
85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,5,2,4,0,0.85
15056BL,EDWARDIAN PARASOL BLACK,10,3,9,5,0.85
23069,EDWARDIAN PHOTO FRAME,25,8,22,20,0.85
23565,EGG CUP MILKMAID HELGA ,14,5,12,9,0.85
23564,EGG CUP MILKMAID INGRID,7,3,6,2,1.63
21826,EIGHT PIECE DINOSAUR SET,773,232,696,768,0.65
46126A,ELVIS WALLHANGING / CURTAIN,77,24,69,72,0.85
22494,EMERGENCY FIRST AID TIN ,13,4,12,8,0.85
22023,EMPIRE BIRTHDAY CARD,7,3,6,2,1.63
22053,EMPIRE DESIGN ROSETTE,9,3,8,4,1.63
35241,ENAMEL BLUE RIM BISCUIT BIN,101,31,91,96,0.85
35809B,ENAMEL BLUE RIM TEA CONTAINER,18,6,16,13,0.85
22425,ENAMEL COLANDER CREAM,53,16,48,48,0.85
23249,ENAMEL DINNER PLATE PANTRY,10,3,9,5,1.63
35810A,ENAMEL PINK COFFEE CONTAINER,15,5,13,10,1.63
84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,3,7,3,0.85
79071B,ENGLISH ROSE METAL WASTE BIN,17,6,15,12,0.85
84535A,ENGLISH ROSE NOTEBOOK A6 SIZE,9,3,8,4,0.85
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,7,3,6,2,0.85
47574A,ENGLISH ROSE SCENTED HANGING FLOWER,11,4,10,6,0.85
47574B,ENGLISH ROSE SCENTED HANGING HEART,6,2,6,1,1.63
47578A,ENGLISH ROSE SMALL SCENTED FLOWER,15,5,13,10,0.85
47504H,ENGLISH ROSE SPIRIT LEVEL ,29,9,26,24,0.85
85017B,ENVELOPE 50 BLOSSOM IMAGES,7,3,6,2,1.63
21009,ETCHED GLASS STAR TREE DECORATION,9,3,8,4,1.63
37495,FAIRY CAKE BIRTHDAY CANDLE SET,5,2,4,0,0.85
84534B,FAIRY CAKE NOTEBOOK A5 SIZE,13,4,12,8,0.85
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,24,8,21,19,1.63
22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,4,11,7,0.85
22466,FAIRY TALE COTTAGE NIGHTLIGHT,11,4,10,6,1.63
22802,FAUX FUR CHOCOLATE THROW,5,2,4,0,0.85
21481,FAWN BLUE HOT WATER BOTTLE,14,5,12,9,2.46
51014L,FEATHER PEN,LIGHT PINK,6,2,6,1,2.55
22256,FELT FARM ANIMAL CHICKEN,11,4,10,6,2.55
22272,FELTCRAFT DOLL MARIA,7,3,6,2,2.55
22273,FELTCRAFT DOLL MOLLY,17,6,15,12,2.55
22271,FELTCRAFT DOLL ROSIE,9,3,8,4,1.25
23126,FELTCRAFT GIRL AMELIE KIT,17,6,15,12,1.25
22587,FELTCRAFT HAIRBAND RED AND BLUE,5,2,4,0,1.25
22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,30,9,27,25,1.25
22751,FELTCRAFT PRINCESS OLIVIA DOLL,7,3,6,2,1.25
72232,FENG SHUI PILLAR CANDLE,29,9,26,24,1.25
90020,FILIGREE DIAMANTE CHAIN,8,3,7,3,1.25
23228,FILIGREE HEART BIRD WHITE ,101,31,91,96,1.25
23227,FILIGREE HEART BUTTERFLY WHITE ,6,2,6,1,1.25
23226,FILIGREE HEART DAISY WHITE,7,3,6,2,1.25
90146,FINE SILVER NECKLACE W PASTEL FLOWE,9,3,8,4,1.25
90039C,FIRE POLISHED GLASS BRACELET BLACK,7,3,6,2,2.51
20654,FIRST CLASS LUGGAGE TAG ,8,3,7,3,14.95
22317,FIVE CATS HANGING DECORATION,17,6,15,12,1.25
22318,FIVE HEART HANGING DECORATION,11,4,10,6,1.25
84033,FLAG OF ST GEORGE ,17,6,15,12,2.46
84527,FLAMES SUNGLASSES PINK LENSES,15,5,13,10,1.25
79320,FLAMINGO LIGHTS,8,3,7,3,1.25
84358,FLOOR LAMP SHADE WOOD BASE,10,3,9,5,1.25
84847,FLORAL BATHROOM SET,12,4,11,7,2.46
20695,FLORAL BLUE MONSTER,29,9,26,24,3.95
20694,FLORAL PINK MONSTER,7,3,6,2,19.96
81950B,FLOWER BLUE CLOCK WITH SUCKER,29,9,26,24,1.25
90002D,FLOWER BURST SILVER RING CRYSTAL,7,3,6,2,2.95
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,2,6,1,2.95
17107D,FLOWER FAIRY,5 SUMMER B'DRAW LINERS,6,2,6,1,16.98
90036B,FLOWER GLASS GARLAND NECKL.36"GREEN,7,3,6,2,7.95
21676,FLOWERS  STICKERS,20,6,18,15,1.25
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,5,2,4,0,7.95
84926E,FLOWERS TILE COASTER,9,3,8,4,7.95
84927E,FLOWERS TILE HOOK,8,3,7,3,7.95
22792,FLUTED ANTIQUE CANDLE HOLDER,5,2,4,0,6.95
84674,FLYING PIG WATERING CAN,17,6,15,12,6.95
23282,FOLDING BUTTERFLY MIRROR IVORY ,6,2,6,1,7.95
16010,FOLDING CAMPING SCISSOR W/KNIF & S,29,9,26,24,1.25
23281,FOLDING MIRROR RED  ,15,5,13,10,7.95
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,389,117,350,384,0.55
84748,FOLK FELT HANGING MULTICOL GARLAND,5,2,4,0,6.95
35964,FOLKART CLIP ON STARS,9,3,8,4,16.98
35965,FOLKART HEART NAPKIN RINGS,10,3,9,5,16.63
35953,FOLKART STAR CHRISTMAS DECORATIONS,6,2,6,1,8.33
23299,FOOD COVER WITH BEADS , SET 2 SIZES,29,9,26,24,6.95
20936,FORKED CACTUS CANDLE,6,2,6,1,10.79
22686,FRENCH BLUE METAL DOOR SIGN No,17,6,15,12,7.95
20835,FRENCH LATTICE CUSHION COVER ,6,2,6,1,3.25
20838,FRENCH LATTICE CUSHION COVER ,9,3,8,4,3.25
20836,FRENCH PAISLEY CUSHION COVER,77,24,69,72,3.25
20839,FRENCH PAISLEY CUSHION COVER ,20,6,18,15,3.25
21277,FRENCH STYLE EMBOSSED HEART CABINET,5,2,4,0,0.65
23187,FRENCH STYLE STORAGE JAR BONBONS,5,2,4,0,7.95
23185,FRENCH STYLE STORAGE JAR JAM,10,3,9,5,7.95
22670,FRENCH WC SIGN BLUE METAL,19,6,17,14,6.95
90042C,FRESHWATER PEARL BRACELET IVORY,9,3,8,4,16.63
22924,FRIDGE MAGNETS LA VIE EN ROSE,7,3,6,2,16.63
20941,FROG CANDLE,5,2,4,0,16.95
85185D,FROG SOCK PUPPET,12,4,11,7,16.63
90116,FRUIT SALAD BAG CHARM,11,4,10,6,16.63
22199,FRYING PAN RED POLKADOT ,8,3,7,3,16.63
22741,FUNKY DIVA PEN,9,3,8,4,15.95
84873A,FUNKY FLOWER PICNIC BAG FOR 4,6,2,6,1,33.29
16168M,FUNKY MONKEY GIFT BAG MEDIUM,7,3,6,2,15.95
20751,FUNKY WASHING UP GLOVES ASSORTED,8,3,7,3,4.21
21745,GAOLERS KEYS DECORATIVE GARDEN ,13,4,12,8,1.25
20766,GARDEN PATH SKETCHBOOK,5,2,4,0,2.95
23300,GARDENERS KNEELING PAD CUP OF TEA ,21,7,19,16,15.95
21812,GARLAND WITH HEARTS AND BELLS,15,5,13,10,0.65
21813,GARLAND WITH STARS AND BELLS,28,9,25,23,1.25
22651,GENTLEMAN SHIRT REPAIR KIT ,29,9,26,24,12.5
22820,GIFT BAG BIRTHDAY,13,4,12,8,15.95
22966,GINGERBREAD MAN COOKIE CUTTER,5,2,4,0,15.95
21836,GINGHAM OVEN GLOVE RED HEART ,9,3,8,4,15.95
23014,GLASS APOTHECARY BOTTLE ELIXIR,7,3,6,2,14.13
90027D,GLASS BEAD HOOP EARRINGS AMETHYST,10,3,9,5,14.13
22777,GLASS BELL JAR LARGE,6,2,6,1,14.13
21667,GLASS CAKE COVER AND PLATE,9,3,8,4,14.13
21318,GLASS CHALICE BLUE SMALL ,15,5,13,10,1.65
22360,GLASS JAR ENGLISH CONFECTIONERY,8,3,7,3,14.13
21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,5,13,10,1.25
